LAT,LONG
4.8722104980,52.3695421000
4.8721521220,52.3696245600
4.8720937470,52.3697070300
4.8720503580,52.3697924800
4.8720183360,52.3698801900
4.8719863140,52.3699679000
4.8719542930,52.3700556100
4.8719222710,52.3701433300
4.8719119780,52.3702329500
4.8719023170,52.3703226300
4.8718926550,52.3704123100
4.8718829930,52.3705019900
4.8718878730,52.3705914300
4.8719055670,52.3706806500
4.8719232620,52.3707698700
4.8719409560,52.3708590900
4.8719647240,52.3709477400
4.8719916970,52.3710360800
4.8720186690,52.3711244300
4.8720529840,52.3712114600
4.8721079490,52.3712948000
4.8721629140,52.3713781400
4.8722178800,52.3714614800
4.8722728460,52.3715448200
4.8723278770,52.3716281500
4.8723834570,52.3717113300
4.8724390370,52.3717945200
4.8724946170,52.3718777100
4.8725501970,52.3719609000
4.8726057780,52.3720440900
4.8726613590,52.3721272700
4.8727169400,52.3722104600
4.8727725210,52.3722936500
4.8728281020,52.3723768400
4.8728836840,52.3724600200
4.8729392650,52.3725432100
4.8729537780,52.3726306900
4.8729464410,52.3727204500
4.8729391040,52.3728102200
4.8775081570,52.3667595700
4.8773760380,52.3667203700
4.8772439190,52.3666811700
4.8771118000,52.3666419700
4.8769796810,52.3666027700
4.8768475630,52.3665635700
4.8767154450,52.3665243700
4.8765833270,52.3664851600
4.8764512090,52.3664459600
4.8763190910,52.3664067600
4.8761869740,52.3663675600
4.8760548570,52.3663283600
4.8759227400,52.3662891500
4.8757906240,52.3662499500
4.8756585070,52.3662107500
4.8755263910,52.3661715500
4.8753942750,52.3661323400
4.8752621600,52.3660931400
4.8751300440,52.3660539400
4.8749979290,52.3660147300
4.8748658140,52.3659755300
4.8747336990,52.3659363300
4.8755976510,52.3700284000
4.8757340980,52.3700616000
4.8758705450,52.3700948000
4.8760069930,52.3701280000
4.8761432100,52.3701615500
4.8762792890,52.3701953100
4.8764153680,52.3702290700
4.8765514480,52.3702628300
4.8766851990,52.3702998600
4.8768181960,52.3703379500
4.8769511920,52.3703760400
4.8770841890,52.3704141200
4.8754836390,52.3700197200
4.8754327670,52.3701040300
4.8753818960,52.3701883400
4.8753310240,52.3702726500
4.8752801520,52.3703569600
4.8752292800,52.3704412600
4.8751784080,52.3705255700
4.8751275350,52.3706098800
4.8750766620,52.3706941900
4.8750257900,52.3707785000
4.8749749160,52.3708628100
4.8749240430,52.3709471100
4.8748867700,52.3710340100
4.8748507440,52.3711211300
4.8748147180,52.3712082600
4.8747786930,52.3712953900
4.8747426660,52.3713825200
4.8747066400,52.3714696500
4.8746706140,52.3715567700
4.8746345870,52.3716439000
4.8745985610,52.3717310300
4.8745614300,52.3718179800
4.8745240390,52.3719049000
4.8744866470,52.3719918100
4.8744815180,52.3720803100
4.8744956530,52.3721697700
4.8745097880,52.3722592300
4.8745473440,52.3723451600
4.8746025720,52.3724284400
4.8746578010,52.3725117100
4.8747373300,52.3725857000
4.8748353520,52.3726526200
4.8749333740,52.3727195400
4.8750184460,52.3727927300
4.8751023230,52.3728665000
4.8751861990,52.3729402700
4.8752700760,52.3730140400
4.8753539520,52.3730878100
4.8754101730,52.3731692100
4.8754448630,52.3732565400
4.8775237490,52.3668047000
4.8774930520,52.3668925900
4.8774623540,52.3669804800
4.8774316560,52.3670683700
4.8774009580,52.3671562500
4.8773702600,52.3672441400
4.8773546760,52.3673333900
4.8773427590,52.3674229700
4.8773308410,52.3675125500
4.8773189230,52.3676021300
4.8773070060,52.3676917100
4.8772661330,52.3677772200
4.8772130340,52.3678610100
4.8771599350,52.3679448000
4.8771068350,52.3680285900
4.8770537350,52.3681123800
4.8770006350,52.3681961700
4.8769475350,52.3682799700
4.8768909530,52.3683628700
4.8768310140,52.3684449100
4.8767710740,52.3685269600
4.8767111340,52.3686090000
4.8766449930,52.3686888700
4.8765595470,52.3687619600
4.8764741000,52.3688350500
4.8763886520,52.3689081400
4.8763032050,52.3689812200
4.8762177570,52.3690543100
4.8761323090,52.3691274000
4.8760539320,52.3692030100
4.8759919870,52.3692845000
4.8759300420,52.3693659900
4.8758680970,52.3694474700
4.8758061520,52.3695289600
4.8757442060,52.3696104400
4.8756887000,52.3696936000
4.8756358590,52.3697774500
4.8755830190,52.3698613100
4.8755301780,52.3699451600
4.8754661620,52.3733351700
4.8754697020,52.3734250200
4.8754732420,52.3735148700
4.8754767830,52.3736047100
4.8754803230,52.3736945600
4.8767390980,52.3736727300
4.8765939050,52.3736861700
4.8764487130,52.3736996100
4.8763035200,52.3737130500
4.8761583270,52.3737264900
4.8760130660,52.3737396300
4.8758673140,52.3737505700
4.8757215580,52.3737609100
4.8755756940,52.3737505400
4.8754840560,52.3737761900
4.8754890300,52.3738660200
4.8755024540,52.3739554100
4.8755217380,52.3740445100
4.8755410220,52.3741336000
4.8755603060,52.3742227000
4.8756000060,52.3743091700
4.8756408950,52.3743954900
4.8756817830,52.3744818100
4.8757226720,52.3745681300
4.8757635610,52.3746544600
4.8758044500,52.3747407800
4.8758453390,52.3748271000
4.8758947000,52.3749116700
4.8759472700,52.3749955900
4.8759998390,52.3750795100
4.8760524090,52.3751634300
4.8768521830,52.3737805500
4.8768075580,52.3736949300
4.8767710890,52.3736079400
4.8767384240,52.3735203200
4.8767057580,52.3734327000
4.8766730930,52.3733450700
4.8766404280,52.3732574500
4.8766077630,52.3731698300
4.8765750980,52.3730822000
4.8765424330,52.3729945800
4.8765097680,52.3729069600
4.8764771040,52.3728193300
4.8764444390,52.3727317100
4.8764117750,52.3726440900
4.8763791110,52.3725564600
4.8763484220,52.3724685900
4.8763207520,52.3723803200
4.8762930830,52.3722920600
4.8762654130,52.3722037900
4.8762377430,52.3721155300
4.8762100740,52.3720272600
4.8761998960,52.3719382600
4.8762102490,52.3718489000
4.8762679690,52.3717662600
4.8763256880,52.3716836200
4.8763834070,52.3716009800
4.8764411250,52.3715183400
4.8764988440,52.3714357000
4.8765565620,52.3713530600
4.8766142800,52.3712704200
4.8766719980,52.3711877800
4.8767297150,52.3711051400
4.8767874330,52.3710225000
4.8768451500,52.3709398600
4.8769028670,52.3708572200
4.8769605840,52.3707745800
4.8770183000,52.3706919300
4.8770760170,52.3706092900
4.8771337330,52.3705266500
4.8768905710,52.3738520400
4.8770350020,52.3738682700
4.8771794320,52.3738845000
4.8773169340,52.3739158400
4.8774540760,52.3739479700
4.8775912190,52.3739801000
4.8777283610,52.3740122200
4.8778655040,52.3740443500
4.8780026470,52.3740764800
4.8781397900,52.3741086000
4.8782769340,52.3741407300
4.8784140780,52.3741728600
4.8785512210,52.3742049800
4.8786883650,52.3742371100
4.8788255100,52.3742692400
4.8789626540,52.3743013600
4.8790997990,52.3743334900
4.8792372780,52.3743650700
4.8793752240,52.3743958800
4.8795134490,52.3744262200
4.8796516730,52.3744565700
4.8797898980,52.3744869100
4.8799281230,52.3745172500
4.8800663480,52.3745475900
4.8802045730,52.3745779400
4.8803427990,52.3746082800
4.8804810250,52.3746386200
4.8806192510,52.3746689600
4.8807574770,52.3746993000
4.8808957030,52.3747296500
4.8810339290,52.3747599900
4.8811715170,52.3747913900
4.8813087720,52.3748233400
4.8814460260,52.3748552900
4.8815832810,52.3748872400
4.8817205360,52.3749191900
4.8818577910,52.3749511500
4.8819950470,52.3749831000
4.8821323020,52.3750150500
4.8822695580,52.3750470000
4.8824068140,52.3750789500
4.8825440700,52.3751109000
4.8826813270,52.3751428500
4.8828185830,52.3751748000
4.8829558400,52.3752067500
4.8830956280,52.3752330600
4.8832337470,52.3752214000
4.8833649000,52.3751809700
4.8834960530,52.3751405500
4.8775767850,52.3751843800
4.8775285140,52.3750995000
4.8774802430,52.3750146200
4.8774319730,52.3749297400
4.8773827840,52.3748450700
4.8773273250,52.3747618500
4.8772718670,52.3746786300
4.8772164080,52.3745954100
4.8771609500,52.3745122000
4.8771085190,52.3744282900
4.8770615050,52.3743431400
4.8770206260,52.3742569500
4.8769889700,52.3741691900
4.8769573150,52.3740814300
4.8769287480,52.3739933000
4.8769040730,52.3739047000
4.8772454070,52.3704591400
4.8773801430,52.3704948600
4.8775148790,52.3705305800
4.8776496160,52.3705663100
4.8777843520,52.3706020300
4.8779190890,52.3706377500
4.8780538260,52.3706734800
4.8781885630,52.3707092000
4.8783233010,52.3707449200
4.8784580380,52.3707806400
4.8785927760,52.3708163700
4.8787275140,52.3708520900
4.8788622530,52.3708878100
4.8789969910,52.3709235300
4.8791317300,52.3709592500
4.8792664690,52.3709949800
4.8794012080,52.3710307000
4.8795359480,52.3710664200
4.8796706870,52.3711021400
4.8798054270,52.3711378600
